time	V(n003)
7.000043984793718e-02	3.138821e-02
7.000055595933713e-02	3.086103e-02
7.000069287672867e-02	3.057297e-02
7.000086450706901e-02	3.042981e-02
7.000109205682316e-02	3.037127e-02
7.000141131031351e-02	3.035429e-02
7.000191255689778e-02	3.035168e-02
7.982998369609258e-02	3.035169e-02
8.000000000000000e-02	3.035169e-02
8.000000100000000e-02	4.067780e-02
8.000000300000000e-02	6.132574e-02
8.000000599999998e-02	9.224364e-02
8.000000999999998e-02	1.333584e-01
8.000001039999999e-02	1.296893e-01
8.000001119999998e-02	1.223840e-01
8.000001279999998e-02	1.077045e-01
8.000001599999998e-02	7.773297e-02
8.000001999999998e-02	3.957200e-02
8.000002279999999e-02	3.850555e-02
8.000002600000000e-02	3.702464e-02
8.000003240000002e-02	3.409788e-02
8.000004520000005e-02	2.961360e-02
8.000005711053086e-02	2.759193e-02
8.000006800722832e-02	2.731160e-02
8.000007901805112e-02	2.753880e-02
8.000009852754363e-02	2.831107e-02
8.000011524955850e-02	2.934468e-02
8.000013304579556e-02	3.044506e-02
8.000015119412078e-02	3.122897e-02
8.000017402052360e-02	3.190133e-02
8.000019393753717e-02	3.236177e-02
8.000021792305990e-02	3.280691e-02
8.000024378377496e-02	3.315479e-02
8.000027128084894e-02	3.335767e-02
8.000030248921108e-02	3.344868e-02
8.000032898467967e-02	3.347387e-02
8.000039586024724e-02	3.348564e-02
9.000000000000000e-02	3.348678e-02
9.000000100000000e-02	3.473381e-02
9.000000300000000e-02	3.723060e-02
9.000000599999999e-02	4.098170e-02
9.000000999999999e-02	4.598865e-02
9.000001279999999e-02	4.599772e-02
9.000001599999999e-02	4.599009e-02
9.000002239999999e-02	4.593207e-02
9.000003271649286e-02	4.576786e-02
9.000004397646472e-02	4.552978e-02
9.000005757464379e-02	4.519636e-02
9.000008095425363e-02	4.458712e-02
9.000012771347334e-02	4.341824e-02
9.000022123191274e-02	4.146193e-02
9.000032906212942e-02	3.986253e-02
9.000043817983881e-02	3.890091e-02
9.000055460401686e-02	3.836742e-02
9.000069067834755e-02	3.807784e-02
9.000086227205725e-02	3.793285e-02
9.000108815655265e-02	3.787359e-02
9.000140646643366e-02	3.785623e-02
9.000190237769792e-02	3.785351e-02
1.000000000000000e-01	3.785352e-02
1.000000010000000e-01	4.042256e-02
1.000000030000000e-01	4.556507e-02
1.000000060000000e-01	5.328487e-02
1.000000100000000e-01	6.357893e-02
1.000000112000000e-01	6.208638e-02
1.000000128000000e-01	6.009294e-02
1.000000160000000e-01	5.609205e-02
1.000000200000000e-01	5.107103e-02
1.000000228000000e-01	5.100489e-02
1.000000260000000e-01	5.089861e-02
1.000000324000000e-01	5.063568e-02
1.000000452000001e-01	5.000564e-02
1.000000708000001e-01	4.865272e-02
1.000001220000003e-01	4.625807e-02
1.000001730631563e-01	4.462127e-02
1.000002205646468e-01	4.379063e-02
1.000002656981133e-01	4.332052e-02
1.000003102258054e-01	4.296132e-02
1.000003545755134e-01	4.269848e-02
1.000003949670398e-01	4.254824e-02
1.000004313836738e-01	4.247183e-02
1.000005042169417e-01	4.240021e-02
1.000006498834776e-01	4.235194e-02
1.000009217534835e-01	4.233721e-02
1.000013032366883e-01	4.233691e-02
1.100000000000000e-01	4.233697e-02
1.100000006219256e-01	4.311218e-02
1.100000018657767e-01	4.466408e-02
1.100000043534791e-01	4.777330e-02
1.100000093288837e-01	5.400041e-02
1.100000100000000e-01	5.484079e-02
1.100000129852428e-01	5.485110e-02
1.100000169655665e-01	5.484002e-02
1.100000249262139e-01	5.475916e-02
1.100000365754944e-01	5.456191e-02
1.100000478185761e-01	5.431742e-02
1.100000621086447e-01	5.396442e-02
1.100000906887819e-01	5.322833e-02
1.100001478490563e-01	5.185262e-02
1.100002463168907e-01	4.993102e-02
1.100003522069609e-01	4.851550e-02
1.100004636818385e-01	4.765470e-02
1.100005821544369e-01	4.718749e-02
1.100007263797931e-01	4.693165e-02
1.100009061253226e-01	4.681008e-02
1.100011503505689e-01	4.676263e-02
1.100014946698318e-01	4.675013e-02
1.100020581103172e-01	4.674860e-02
1.200000000000000e-01	4.674864e-02
1.200000010000000e-01	5.204670e-02
1.200000030000000e-01	6.265076e-02
1.200000060000000e-01	7.856079e-02
1.200000100000000e-01	9.976038e-02
1.200000104000000e-01	9.823265e-02
1.200000112000000e-01	9.517978e-02
1.200000128000000e-01	8.906795e-02
1.200000160000000e-01	7.674143e-02
1.200000200000000e-01	6.116445e-02
1.200000228000000e-01	6.085006e-02
1.200000260000000e-01	6.040564e-02
1.200000324000000e-01	5.937546e-02
1.200000452000001e-01	5.725331e-02
1.200000708000001e-01	5.374036e-02
1.200000945925902e-01	5.181219e-02
1.200001172425183e-01	5.112682e-02
1.200001393164749e-01	5.091833e-02
1.200001694391450e-01	5.082121e-02
1.200001950772876e-01	5.090843e-02
1.200002178875684e-01	5.109855e-02
1.200002426160245e-01	5.129731e-02
1.200002697059069e-01	5.142306e-02
1.200003001240296e-01	5.147375e-02
1.200003250996787e-01	5.148407e-02
1.200003567935423e-01	5.148592e-02
1.200003911833174e-01	5.148573e-02
1.200004467257788e-01	5.148514e-02
1.200005224738661e-01	5.148483e-02
1.300000000000000e-01	5.148473e-02
1.300000010000000e-01	5.273219e-02
1.300000030000000e-01	5.523062e-02
1.300000060000000e-01	5.898636e-02
1.300000100000000e-01	6.400218e-02
1.300000128000000e-01	6.401943e-02
1.300000160000000e-01	6.402059e-02
1.300000224000000e-01	6.397833e-02
1.300000327070878e-01	6.383555e-02
1.300000439665768e-01	6.361555e-02
1.300000575189560e-01	6.329855e-02
1.300000803415066e-01	6.271840e-02
1.300001259866076e-01	6.158384e-02
1.300002172768097e-01	5.965804e-02
1.300003262911559e-01	5.800895e-02
1.300004343177529e-01	5.702958e-02
1.300005514741617e-01	5.647573e-02
1.300006856435768e-01	5.617883e-02
1.300008571553350e-01	5.602743e-02
1.300010792663619e-01	5.596556e-02
1.300013954170879e-01	5.594702e-02
1.300018793284760e-01	5.594400e-02
1.400000000000000e-01	5.594400e-02
1.400000010000000e-01	5.851393e-02
1.400000030000000e-01	6.365985e-02
1.400000060000000e-01	7.138942e-02
1.400000100000000e-01	8.170220e-02
1.400000112000000e-01	8.021701e-02
1.400000128000000e-01	7.823253e-02
1.400000160000000e-01	7.424710e-02
1.400000200000000e-01	6.924251e-02
1.400000228000000e-01	6.918399e-02
1.400000260000001e-01	6.908514e-02
1.400000324000001e-01	6.883482e-02
1.400000452000002e-01	6.822402e-02
1.400000708000003e-01	6.689371e-02
1.400001220000007e-01	6.451426e-02
1.400001731148797e-01	6.287079e-02
1.400002203046148e-01	6.202996e-02
1.400002657039347e-01	6.153973e-02
1.400003140004936e-01	6.113455e-02
1.400003521445030e-01	6.089981e-02
1.400003867415894e-01	6.076435e-02
1.400004243433840e-01	6.067791e-02
1.400004995469732e-01	6.059505e-02
1.400006499541515e-01	6.053999e-02
1.400009062911497e-01	6.052462e-02
1.500000000000000e-01	6.052448e-02
1.500000010000000e-01	6.177203e-02
1.500000030000000e-01	6.427083e-02
1.500000060000000e-01	6.802766e-02
1.500000100000000e-01	7.304558e-02
1.500000128000000e-01	7.306490e-02
1.500000160000000e-01	7.306844e-02
1.500000224000000e-01	7.303085e-02
1.500000327029902e-01	7.289520e-02
1.500000439626509e-01	7.268211e-02
1.500000574925813e-01	7.237279e-02
1.500000800442426e-01	7.180851e-02
1.500001251475651e-01	7.069640e-02
1.500002153542102e-01	6.879453e-02
1.500003249586856e-01	6.712496e-02
1.500004324553687e-01	6.613713e-02
1.500005499834781e-01	6.557217e-02
1.500006832400534e-01	6.527097e-02
1.500008547332696e-01	6.511591e-02
1.500010750461846e-01	6.505254e-02
1.500013902031095e-01	6.503334e-02
1.500018684671704e-01	6.503016e-02
1.600000000000000e-01	6.503015e-02
1.600000010000000e-01	8.676682e-02
1.600000030000000e-01	1.302775e-01
1.600000060000000e-01	1.955464e-01
1.600000100000000e-01	2.824702e-01
1.600000104000000e-01	2.747546e-01
1.600000112000000e-01	2.594879e-01
1.600000128000000e-01	2.280154e-01
1.600000160000000e-01	1.600733e-01
1.600000200000000e-01	7.052326e-02
1.600000212000000e-01	6.762271e-02
1.600000228000000e-01	6.391853e-02
1.600000260000000e-01	5.785054e-02
1.600000317278013e-01	5.111442e-02
1.600000377579254e-01	4.881500e-02
1.600000434194629e-01	4.950200e-02
1.600000501231341e-01	5.125032e-02
1.600000597283587e-01	5.430109e-02
1.600000709653233e-01	5.792955e-02
1.600000840069745e-01	6.110887e-02
1.600000977824919e-01	6.346667e-02
1.600001130918258e-01	6.544781e-02
1.600001293627645e-01	6.693567e-02
1.600001484968598e-01	6.801475e-02
1.600001690986355e-01	6.874408e-02
1.600001869965160e-01	6.920580e-02
1.600002113743332e-01	6.970161e-02
1.600002357399021e-01	7.006741e-02
1.600002626854330e-01	7.029763e-02
1.600002935938143e-01	7.040542e-02
1.600003241593409e-01	7.043891e-02
1.600004194113202e-01	7.044679e-02
1.600005146632994e-01	7.045268e-02
1.600006099152786e-01	7.045661e-02
1.600007051672579e-01	7.045856e-02
