Freq.	V(nc_01)
1.33659551654643e+00	(-1.51174991959735e+01dB,-3.96757763599342e-02°)
1.33967668742593e+00	(-1.51174992055860e+01dB,-3.97672384410283e-02°)
1.34276496113786e+00	(-1.51174992152429e+01dB,-3.98589113637931e-02°)
1.34586035405594e+00	(-1.51174992249443e+01dB,-3.99507956142662e-02°)
1.34896288259164e+00	(-1.51174992346905e+01dB,-4.00428916796045e-02°)
1.35207256319427e+00	(-1.51174992444817e+01dB,-4.01352000480890e-02°)
1.35518941235103e+00	(-1.51174992543181e+01dB,-4.02277212091355e-02°)
1.35831344658715e+00	(-1.51174992641999e+01dB,-4.03204556532710e-02°)
1.36144468246594e+00	(-1.51174992741273e+01dB,-4.04134038721676e-02°)
1.36458313658892e+00	(-1.51174992841005e+01dB,-4.05065663586241e-02°)
1.36772882559584e+00	(-1.51174992941198e+01dB,-4.05999436065790e-02°)
1.37088176616484e+00	(-1.51174993041853e+01dB,-4.06935361111028e-02°)
1.37404197501251e+00	(-1.51174993142973e+01dB,-4.07873443684132e-02°)
1.37720946889394e+00	(-1.51174993244559e+01dB,-4.08813688758731e-02°)
1.38038426460288e+00	(-1.51174993346615e+01dB,-4.09756101319872e-02°)
1.38356637897177e+00	(-1.51174993449141e+01dB,-4.10700686364104e-02°)
1.38675582887188e+00	(-1.51174993552141e+01dB,-4.11647448899499e-02°)
1.38995263121334e+00	(-1.51174993655616e+01dB,-4.12596393945679e-02°)
1.39315680294529e+00	(-1.51174993759569e+01dB,-4.13547526533846e-02°)
1.39636836105593e+00	(-1.51174993864001e+01dB,-4.14500851706798e-02°)
1.39958732257261e+00	(-1.51174993968916e+01dB,-4.15456374518912e-02°)
1.40281370456195e+00	(-1.51174994074315e+01dB,-4.16414100036296e-02°)
1.40604752412990e+00	(-1.51174994180200e+01dB,-4.17374033336682e-02°)
1.40928879842186e+00	(-1.51174994286574e+01dB,-4.18336179509508e-02°)
1.41253754462274e+00	(-1.51174994393439e+01dB,-4.19300543655967e-02°)
1.41579377995707e+00	(-1.51174994500798e+01dB,-4.20267130888981e-02°)
1.41905752168908e+00	(-1.51174994608651e+01dB,-4.21235946333280e-02°)
1.42232878712281e+00	(-1.51174994717003e+01dB,-4.22206995125424e-02°)
1.42560759360218e+00	(-1.51174994825855e+01dB,-4.23180282413806e-02°)
1.42889395851109e+00	(-1.51174994935209e+01dB,-4.24155813358627e-02°)
1.43218789927353e+00	(-1.51174995045069e+01dB,-4.25133593132072e-02°)
1.43548943335364e+00	(-1.51174995155435e+01dB,-4.26113626918208e-02°)
1.43879857825583e+00	(-1.51174995266310e+01dB,-4.27095919913015e-02°)
1.44211535152486e+00	(-1.51174995377698e+01dB,-4.28080477324532e-02°)
1.44543977074592e+00	(-1.51174995489599e+01dB,-4.29067304372760e-02°)
1.44877185354475e+00	(-1.51174995602017e+01dB,-4.30056406289709e-02°)
1.45211161758773e+00	(-1.51174995714954e+01dB,-4.31047788319507e-02°)
1.45545908058195e+00	(-1.51174995828412e+01dB,-4.32041455718315e-02°)
1.45881426027534e+00	(-1.51174995942394e+01dB,-4.33037413754409e-02°)
1.46217717445671e+00	(-1.51174996056902e+01dB,-4.34035667708308e-02°)
1.46554784095590e+00	(-1.51174996171939e+01dB,-4.35036222872541e-02°)
1.46892627764385e+00	(-1.51174996287506e+01dB,-4.36039084552008e-02°)
1.47231250243271e+00	(-1.51174996403607e+01dB,-4.37044258063696e-02°)
1.47570653327588e+00	(-1.51174996520244e+01dB,-4.38051748736963e-02°)
1.47910838816819e+00	(-1.51174996637419e+01dB,-4.39061561913382e-02°)
1.48251808514594e+00	(-1.51174996755135e+01dB,-4.40073702946820e-02°)
1.48593564228699e+00	(-1.51174996873395e+01dB,-4.41088177203591e-02°)
1.48936107771090e+00	(-1.51174996992200e+01dB,-4.42104990062250e-02°)
1.49279440957898e+00	(-1.51174997111554e+01dB,-4.43124146913825e-02°)
1.49623565609442e+00	(-1.51174997231458e+01dB,-4.44145653161790e-02°)
1.49968483550236e+00	(-1.51174997351916e+01dB,-4.45169514222015e-02°)
1.50314196609001e+00	(-1.51174997472931e+01dB,-4.46195735522868e-02°)
1.50660706618673e+00	(-1.51174997594503e+01dB,-4.47224322505292e-02°)
1.51008015416413e+00	(-1.51174997716637e+01dB,-4.48255280622702e-02°)
1.51356124843619e+00	(-1.51174997839335e+01dB,-4.49288615341087e-02°)
1.51705036745932e+00	(-1.51174997962598e+01dB,-4.50324332139089e-02°)
1.52054752973248e+00	(-1.51174998086431e+01dB,-4.51362436507950e-02°)
1.52405275379728e+00	(-1.51174998210836e+01dB,-4.52402933951563e-02°)
